"Method","Miss","MissModel","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Time_total","NRMSE"
"PPCA",0.4,"MNARMCAR",0,0.2,0.2,1,26,200,5200,1.03352761268616,NA
"RF",0.4,"MARMCAR",0,0.2,0.2,1,26,200,5200,2.3793830871582,1.03829019619615
"min",0.4,"MARMCAR",0,0.2,0.2,1,26,200,5200,0.0801925659179688,2.00269765402474
"mean",0.4,"MARMCAR",0,0.2,0.2,1,26,200,5200,0.0754916667938232,1.02933970606667
"LLS",0.4,"MARMCAR",0,0.2,0.2,1,26,200,5200,5.68942713737488,2.02245291997468
"KNNImpute",0.4,"MARMCAR",0,0.2,0.2,1,26,200,5200,0.00170040130615234,1.0819671378607
"BPCA",0.4,"MARMCAR",0,0.2,0.2,1,26,200,5200,0.36518931388855,1.02933970606667
"svdImpute",0.4,"MARMCAR",0,0.2,0.2,1,26,200,5200,4.09472370147705,338.67652518945
"PPCA",0.4,"MARMCAR",0.2,0,0.2,1,26,200,5200,4.09472370147705,NA
"RF",0.4,"MNARMAR",0.2,0,0.2,1,26,200,5200,2.31194853782654,1.30406361833354
"min",0.4,"MNARMAR",0.2,0,0.2,1,26,200,5200,0.0858359336853027,1.17337409074552
